instanceType,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed
t4g.nano,0.5,2,0,,0,AWS Graviton2 Processor,2.5 GHz
t3a.nano,0.5,2,0,,0,AMD EPYC 7571,2.5 GHz
t3.nano,0.5,2,0,,0,Intel Skylake E5 2686 v5,3.1 GHz
t2.nano,0.5,1,0,,0,Intel Xeon Family,Up to 3.3 GHz
t4g.micro,1,2,0,,0,AWS Graviton2 Processor,2.5 GHz
t3a.micro,1,2,0,,0,AMD EPYC 7571,2.5 GHz
t3.micro,1,2,0,,0,Intel Skylake E5 2686 v5,3.1 GHz
t2.micro,1,1,0,,0,Intel Xeon Family,Up to 3.3 GHz
t4g.small,2,2,0,,0,AWS Graviton2 Processor,2.5 GHz
t3a.small,2,2,0,,0,AMD EPYC 7571,2.5 GHz
t1.micro,0.613,1,0,,0,Variable,unknown
t3.small,2,2,0,,0,Intel Skylake E5 2686 v5,3.1 GHz
t2.small,2,1,0,,0,Intel Xeon Family,Up to 3.3 GHz
a1.medium,2,1,0,,0,AWS Graviton Processor,2.3 GHz
t4g.medium,4,2,0,,0,AWS Graviton2 Processor,2.5 GHz
c6g.medium,2,1,0,,0,AWS Graviton2 Processor,2.5 GHz
c7g.medium,2,1,0,,0,AWS Graviton3 Processor,2.5 GHz
t3a.medium,4,2,0,,0,AMD EPYC 7571,2.5 GHz
c6gd.medium,2,1,0,,0,AWS Graviton2 Processor,2.5 GHz
m6g.medium,4,1,0,,0,AWS Graviton2 Processor,unknown
c8g.medium,2,1,0,,0,AWS Graviton4 Processor,2.7 GHz
m7g.medium,4,1,0,,0,AWS Graviton3 Processor,2.5 GHz
t3.medium,4,2,0,,0,Intel Skylake E5 2686 v5,3.1 GHz
c6gn.medium,2,1,0,,0,AWS Graviton2 Processor,2.5 GHz
m1.small,1.7,1,0,,0,Intel Xeon Family,unknown
m8g.medium,4,1,0,,0,AWS Graviton4 Processor,2.7 GHz
m6gd.medium,4,1,0,,0,AWS Graviton2 Processor,2.5 GHz
c7gd.medium,2,1,0,,0,AWS Graviton3 Processor,2.5 GHz
t2.medium,4,2,0,,0,Intel Xeon Family,Up to 3.3 GHz
r6g.medium,8,1,0,,0,AWS Graviton2 Processor,2.5 GHz
a1.large,4,2,0,,0,AWS Graviton Processor,2.3 GHz
c7a.medium,2,1,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
m7gd.medium,4,1,0,,0,AWS Graviton3 Processor,2.5 GHz
r7g.medium,8,1,0,,0,AWS Graviton3 Processor,2.5 GHz
r6gd.medium,8,1,0,,0,AWS Graviton2 Processor,2.5 GHz
m7a.medium,4,1,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
r8g.medium,8,1,0,,0,AWS Graviton4 Processor,2.7 GHz
c7gn.medium,2,1,0,,0,AWS Graviton3 Processor,2.6 GHz
m3.medium,3.75,1,0,,0,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz
t4g.large,8,2,0,,0,AWS Graviton2 Processor,2.5 GHz
r7gd.medium,8,1,0,,0,AWS Graviton3 Processor,2.5 GHz
c6g.large,4,2,0,,0,AWS Graviton2 Processor,2.5 GHz
c7g.large,4,2,0,,0,AWS Graviton3 Processor,2.5 GHz
t3a.large,8,2,0,,0,AMD EPYC 7571,2.5 GHz
r7a.medium,8,1,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
c6a.large,4,2,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
c6gd.large,4,2,0,,0,AWS Graviton2 Processor,2.5 GHz
m6g.large,8,2,0,,0,AWS Graviton2 Processor,unknown
c5a.large,4,2,0,,0,AMD EPYC 7R32,3.3 GHz
c8g.large,4,2,0,,0,AWS Graviton4 Processor,2.7 GHz
m7g.large,8,2,0,,0,AWS Graviton3 Processor,2.5 GHz
t3.large,8,2,0,,0,Intel Skylake E5 2686 v5,3.1 GHz
x2gd.medium,16,1,0,,0,AWS Graviton2 Processor,2.5 GHz
c7i-flex.large,4,2,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
c6i.large,4,2,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c5.large,4,2,0,,0,Intel Xeon Platinum 8124M,3.4 GHz
c5ad.large,4,2,0,,0,AMD EPYC 7R32,3.3 GHz
m5a.large,8,2,0,,0,AMD EPYC 7571,2.5 GHz
m6a.large,8,2,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
c6gn.large,4,2,0,,0,AWS Graviton2 Processor,2.5 GHz
m1.medium,3.75,1,0,,0,Intel Xeon Family,unknown
c7i.large,4,2,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
m8g.large,8,2,0,,0,AWS Graviton4 Processor,2.7 GHz
m6gd.large,8,2,0,,0,AWS Graviton2 Processor,2.5 GHz
c7gd.large,4,2,0,,0,AWS Graviton3 Processor,2.5 GHz
t2.large,8,2,0,,0,Intel Xeon Family,Up to 3.3 GHz
m7i-flex.large,8,2,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.5 GHz
m6i.large,8,2,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c5d.large,4,2,0,,0,Intel Xeon Platinum 8124M,3.4 GHz
m5.large,8,2,0,,0,Intel Xeon Platinum 8175,3.1 GHz
x8g.medium,16,1,0,,0,AWS Graviton4 Processor,2.7 GHz
c4.large,3.75,2,0,,0,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz
m4.large,8,2,0,,0,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz
c6id.large,4,2,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
